"Word","Little","Small","c","d","GStat","Association"
"450ml",0,1,36444,31243,1.54618034049888,"small"
"45°",0,1,36444,31243,1.54618034049888,"small"
"8ft",0,1,36444,31243,1.54618034049888,"small"
"abbey",0,1,36444,31243,1.54618034049888,"small"
"abbot",0,1,36444,31243,1.54618034049888,"small"
"aberrant",0,1,36444,31243,1.54618034049888,"small"
"ac",0,1,36444,31243,1.54618034049888,"small"
"accomplice",0,1,36444,31243,1.54618034049888,"small"
"accomplishment",0,1,36444,31243,1.54618034049888,"small"
"achray",0,1,36444,31243,1.54618034049888,"small"
"acre",0,1,36444,31243,1.54618034049888,"small"
"activator",0,1,36444,31243,1.54618034049888,"small"
"activist",0,1,36444,31243,1.54618034049888,"small"
"adage",0,1,36444,31243,1.54618034049888,"small"
"adaption",0,1,36444,31243,1.54618034049888,"small"
"address",0,1,36444,31243,1.54618034049888,"small"
"adhesive",0,1,36444,31243,1.54618034049888,"small"
"admin",0,1,36444,31243,1.54618034049888,"small"
"admirer",0,1,36444,31243,1.54618034049888,"small"
"adygey",0,1,36444,31243,1.54618034049888,"small"
"adze",0,1,36444,31243,1.54618034049888,"small"
"aerial",0,1,36444,31243,1.54618034049888,"small"
"aftershock",0,1,36444,31243,1.54618034049888,"small"
"agitating",0,1,36444,31243,1.54618034049888,"small"
"air-movement",0,1,36444,31243,1.54618034049888,"small"
"airliner",0,1,36444,31243,1.54618034049888,"small"
"airshow",0,1,36444,31243,1.54618034049888,"small"
"aisle",0,1,36444,31243,1.54618034049888,"small"
"alawite",0,1,36444,31243,1.54618034049888,"small"
"albatross",0,1,36444,31243,1.54618034049888,"small"
"alison",0,1,36444,31243,1.54618034049888,"small"
"all-valve",0,1,36444,31243,1.54618034049888,"small"
"allotment",0,1,36444,31243,1.54618034049888,"small"
"almond",0,1,36444,31243,1.54618034049888,"small"
"alp",0,1,36444,31243,1.54618034049888,"small"
"alternator",0,1,36444,31243,1.54618034049888,"small"
"amazon",0,1,36444,31243,1.54618034049888,"small"
"amelioration",0,1,36444,31243,1.54618034049888,"small"
"amercement",0,1,36444,31243,1.54618034049888,"small"
"amplifier",0,1,36444,31243,1.54618034049888,"small"
"ampoule",0,1,36444,31243,1.54618034049888,"small"
"ancient-looking",0,1,36444,31243,1.54618034049888,"small"
"anemone",0,1,36444,31243,1.54618034049888,"small"
"ante-chamber",0,1,36444,31243,1.54618034049888,"small"
"antechamber",0,1,36444,31243,1.54618034049888,"small"
"antenna",0,1,36444,31243,1.54618034049888,"small"
"anthropoid",0,1,36444,31243,1.54618034049888,"small"
"anti-guerrilla",0,1,36444,31243,1.54618034049888,"small"
"anti-room",0,1,36444,31243,1.54618034049888,"small"
"anus",0,1,36444,31243,1.54618034049888,"small"
"aoc",0,1,36444,31243,1.54618034049888,"small"
"ape",0,1,36444,31243,1.54618034049888,"small"
"apothecary",0,1,36444,31243,1.54618034049888,"small"
"appendage",0,1,36444,31243,1.54618034049888,"small"
"approach",0,1,36444,31243,1.54618034049888,"small"
"apse",0,1,36444,31243,1.54618034049888,"small"
"aquatint",0,1,36444,31243,1.54618034049888,"small"
"arbor",0,1,36444,31243,1.54618034049888,"small"
"archosaur",0,1,36444,31243,1.54618034049888,"small"
"armada",0,1,36444,31243,1.54618034049888,"small"
"armament",0,1,36444,31243,1.54618034049888,"small"
"arrowhead",0,1,36444,31243,1.54618034049888,"small"
"artifact",0,1,36444,31243,1.54618034049888,"small"
"artist",0,1,36444,31243,1.54618034049888,"small"
"assassin",0,1,36444,31243,1.54618034049888,"small"
"assembling",0,1,36444,31243,1.54618034049888,"small"
"assembly-robot",0,1,36444,31243,1.54618034049888,"small"
"association",0,1,36444,31243,1.54618034049888,"small"
"astrantia",0,1,36444,31243,1.54618034049888,"small"
"atapuerca",0,1,36444,31243,1.54618034049888,"small"
"atelier",0,1,36444,31243,1.54618034049888,"small"
"attaché",0,1,36444,31243,1.54618034049888,"small"
"auction",0,1,36444,31243,1.54618034049888,"small"
"auditorium",0,1,36444,31243,1.54618034049888,"small"
"aura",0,1,36444,31243,1.54618034049888,"small"
"autograph",0,1,36444,31243,1.54618034049888,"small"
"automatic",0,1,36444,31243,1.54618034049888,"small"
"autotroph",0,1,36444,31243,1.54618034049888,"small"
"average",0,1,36444,31243,1.54618034049888,"small"
"aviation",0,1,36444,31243,1.54618034049888,"small"
"avocado",0,1,36444,31243,1.54618034049888,"small"
"axe/axis",0,1,36444,31243,1.54618034049888,"small"
"ba",0,1,36444,31243,1.54618034049888,"small"
"bachelor",0,1,36444,31243,1.54618034049888,"small"
"back-kitchen",0,1,36444,31243,1.54618034049888,"small"
"back-road",0,1,36444,31243,1.54618034049888,"small"
"back-room",0,1,36444,31243,1.54618034049888,"small"
"backroom",0,1,36444,31243,1.54618034049888,"small"
"backspace",0,1,36444,31243,1.54618034049888,"small"
"backward-directed",0,1,36444,31243,1.54618034049888,"small"
"backwardly-directed",0,1,36444,31243,1.54618034049888,"small"
"bacon-curing",0,1,36444,31243,1.54618034049888,"small"
"bacterium",0,1,36444,31243,1.54618034049888,"small"
"bagful",0,1,36444,31243,1.54618034049888,"small"
"ballot",0,1,36444,31243,1.54618034049888,"small"
"bandsaw",0,1,36444,31243,1.54618034049888,"small"
"bandwidth",0,1,36444,31243,1.54618034049888,"small"
"banner",0,1,36444,31243,1.54618034049888,"small"
"bar-billiard",0,1,36444,31243,1.54618034049888,"small"
"bar-lounge",0,1,36444,31243,1.54618034049888,"small"
"barbecue",0,1,36444,31243,1.54618034049888,"small"
"barbel",0,1,36444,31243,1.54618034049888,"small"
"barchan",0,1,36444,31243,1.54618034049888,"small"
"bargain",0,1,36444,31243,1.54618034049888,"small"
"barge",0,1,36444,31243,1.54618034049888,"small"
"barracuda",0,1,36444,31243,1.54618034049888,"small"
"barrel-shaped",0,1,36444,31243,1.54618034049888,"small"
"barrow",0,1,36444,31243,1.54618034049888,"small"
"bas-relief",0,1,36444,31243,1.54618034049888,"small"
"base/basis",0,1,36444,31243,1.54618034049888,"small"
"baseball",0,1,36444,31243,1.54618034049888,"small"
"bath-house",0,1,36444,31243,1.54618034049888,"small"
"baton",0,1,36444,31243,1.54618034049888,"small"
"battalion",0,1,36444,31243,1.54618034049888,"small"
"batten",0,1,36444,31243,1.54618034049888,"small"
"battery-operated",0,1,36444,31243,1.54618034049888,"small"
"battery-powered",0,1,36444,31243,1.54618034049888,"small"
"battlefield",0,1,36444,31243,1.54618034049888,"small"
"battleship",0,1,36444,31243,1.54618034049888,"small"
"bayhead",0,1,36444,31243,1.54618034049888,"small"
"bayonet",0,1,36444,31243,1.54618034049888,"small"
"bazooka",0,1,36444,31243,1.54618034049888,"small"
"bed-sitting-room",0,1,36444,31243,1.54618034049888,"small"
"bedsit",0,1,36444,31243,1.54618034049888,"small"
"bench-altar",0,1,36444,31243,1.54618034049888,"small"
"bequest",0,1,36444,31243,1.54618034049888,"small"
"bi-plane",0,1,36444,31243,1.54618034049888,"small"
"biase",0,1,36444,31243,1.54618034049888,"small"
"bicycle",0,1,36444,31243,1.54618034049888,"small"
"bidder",0,1,36444,31243,1.54618034049888,"small"
"binoculars",0,1,36444,31243,1.54618034049888,"small"
"biotechnology",0,1,36444,31243,1.54618034049888,"small"
"biplane",0,1,36444,31243,1.54618034049888,"small"
"bird-faced",0,1,36444,31243,1.54618034049888,"small"
"birth",0,1,36444,31243,1.54618034049888,"small"
"biz",0,1,36444,31243,1.54618034049888,"small"
"black-capped",0,1,36444,31243,1.54618034049888,"small"
"blast-furnace",0,1,36444,31243,1.54618034049888,"small"
"blaster",0,1,36444,31243,1.54618034049888,"small"
"blimp",0,1,36444,31243,1.54618034049888,"small"
"blood-vessel",0,1,36444,31243,1.54618034049888,"small"
"bloodstain",0,1,36444,31243,1.54618034049888,"small"
"blossom",0,1,36444,31243,1.54618034049888,"small"
"bluff",0,1,36444,31243,1.54618034049888,"small"
"boat-hire",0,1,36444,31243,1.54618034049888,"small"
"boat-house",0,1,36444,31243,1.54618034049888,"small"
"boathouse",0,1,36444,31243,1.54618034049888,"small"
"boatyard",0,1,36444,31243,1.54618034049888,"small"
"bob-tail",0,1,36444,31243,1.54618034049888,"small"
"bodice",0,1,36444,31243,1.54618034049888,"small"
"bog",0,1,36444,31243,1.54618034049888,"small"
"boil",0,1,36444,31243,1.54618034049888,"small"
"bollock",0,1,36444,31243,1.54618034049888,"small"
"bolshevik",0,1,36444,31243,1.54618034049888,"small"
"book-buying",0,1,36444,31243,1.54618034049888,"small"
"book-lined",0,1,36444,31243,1.54618034049888,"small"
"bookselling",0,1,36444,31243,1.54618034049888,"small"
"boot",0,1,36444,31243,1.54618034049888,"small"
"bore",0,1,36444,31243,1.54618034049888,"small"
"boss",0,1,36444,31243,1.54618034049888,"small"
"bothy",0,1,36444,31243,1.54618034049888,"small"
"bottled-gas",0,1,36444,31243,1.54618034049888,"small"
"boundary",0,1,36444,31243,1.54618034049888,"small"
"bovid",0,1,36444,31243,1.54618034049888,"small"
"bow-wave",0,1,36444,31243,1.54618034049888,"small"
"bowing",0,1,36444,31243,1.54618034049888,"small"
"bowling",0,1,36444,31243,1.54618034049888,"small"
"bowser",0,1,36444,31243,1.54618034049888,"small"
"box-ad",0,1,36444,31243,1.54618034049888,"small"
"boxful",0,1,36444,31243,1.54618034049888,"small"
"boy-god",0,1,36444,31243,1.54618034049888,"small"
"brassiere",0,1,36444,31243,1.54618034049888,"small"
"brawl",0,1,36444,31243,1.54618034049888,"small"
"breakaway",0,1,36444,31243,1.54618034049888,"small"
"breeder",0,1,36444,31243,1.54618034049888,"small"
"briefcase",0,1,36444,31243,1.54618034049888,"small"
"brigadier",0,1,36444,31243,1.54618034049888,"small"
"bristle",0,1,36444,31243,1.54618034049888,"small"
"british-based",0,1,36444,31243,1.54618034049888,"small"
"brothel",0,1,36444,31243,1.54618034049888,"small"
"buckle",0,1,36444,31243,1.54618034049888,"small"
"buff",0,1,36444,31243,1.54618034049888,"small"
"buff-coloured",0,1,36444,31243,1.54618034049888,"small"
"buffet-style",0,1,36444,31243,1.54618034049888,"small"
"bung",0,1,36444,31243,1.54618034049888,"small"
"burden",0,1,36444,31243,1.54618034049888,"small"
"bureaucracy",0,1,36444,31243,1.54618034049888,"small"
"burial",0,1,36444,31243,1.54618034049888,"small"
"bus-load",0,1,36444,31243,1.54618034049888,"small"
"business-card",0,1,36444,31243,1.54618034049888,"small"
"bustle",0,1,36444,31243,1.54618034049888,"small"
"butt",0,1,36444,31243,1.54618034049888,"small"
"buyer",0,1,36444,31243,1.54618034049888,"small"
"byre",0,1,36444,31243,1.54618034049888,"small"
"cachepot",0,1,36444,31243,1.54618034049888,"small"
"calorie",0,1,36444,31243,1.54618034049888,"small"
"camming-device",0,1,36444,31243,1.54618034049888,"small"
"campfire",0,1,36444,31243,1.54618034049888,"small"
"cane",0,1,36444,31243,1.54618034049888,"small"
"canid",0,1,36444,31243,1.54618034049888,"small"
"cantharus",0,1,36444,31243,1.54618034049888,"small"
"canton",0,1,36444,31243,1.54618034049888,"small"
"capacitor",0,1,36444,31243,1.54618034049888,"small"
"cape",0,1,36444,31243,1.54618034049888,"small"
"captive",0,1,36444,31243,1.54618034049888,"small"
"car-park",0,1,36444,31243,1.54618034049888,"small"
"carborane",0,1,36444,31243,1.54618034049888,"small"
"carcinoid",0,1,36444,31243,1.54618034049888,"small"
"card-table",0,1,36444,31243,1.54618034049888,"small"
"cargo",0,1,36444,31243,1.54618034049888,"small"
"carpark",0,1,36444,31243,1.54618034049888,"small"
"carrel",0,1,36444,31243,1.54618034049888,"small"
"casing",0,1,36444,31243,1.54618034049888,"small"
"cask",0,1,36444,31243,1.54618034049888,"small"
"cassette-radio",0,1,36444,31243,1.54618034049888,"small"
"casting",0,1,36444,31243,1.54618034049888,"small"
"catalan",0,1,36444,31243,1.54618034049888,"small"
"catalogue",0,1,36444,31243,1.54618034049888,"small"
"catamaran",0,1,36444,31243,1.54618034049888,"small"
"catch-crop",0,1,36444,31243,1.54618034049888,"small"
"caterpillar",0,1,36444,31243,1.54618034049888,"small"
"catmint",0,1,36444,31243,1.54618034049888,"small"
"cattle",0,1,36444,31243,1.54618034049888,"small"
"cattle-byre",0,1,36444,31243,1.54618034049888,"small"
"caucus",0,1,36444,31243,1.54618034049888,"small"
"cauldron",0,1,36444,31243,1.54618034049888,"small"
"cavalry",0,1,36444,31243,1.54618034049888,"small"
"cavity-nesting",0,1,36444,31243,1.54618034049888,"small"
"cay",0,1,36444,31243,1.54618034049888,"small"
"cd",0,1,36444,31243,1.54618034049888,"small"
"celtic-type",0,1,36444,31243,1.54618034049888,"small"
"cement",0,1,36444,31243,1.54618034049888,"small"
"center",0,1,36444,31243,1.54618034049888,"small"
"centre-right",0,1,36444,31243,1.54618034049888,"small"
"chalet-type",0,1,36444,31243,1.54618034049888,"small"
"chalice",0,1,36444,31243,1.54618034049888,"small"
"chalk",0,1,36444,31243,1.54618034049888,"small"
"chamfer",0,1,36444,31243,1.54618034049888,"small"
"chancel",0,1,36444,31243,1.54618034049888,"small"
"chandelier",0,1,36444,31243,1.54618034049888,"small"
"channel",0,1,36444,31243,1.54618034049888,"small"
"chase",0,1,36444,31243,1.54618034049888,"small"
"cheddar",0,1,36444,31243,1.54618034049888,"small"
"chemistry",0,1,36444,31243,1.54618034049888,"small"
"cheroot",0,1,36444,31243,1.54618034049888,"small"
"chindwin",0,1,36444,31243,1.54618034049888,"small"
"cholesteryl",0,1,36444,31243,1.54618034049888,"small"
"chop-house",0,1,36444,31243,1.54618034049888,"small"
"chortle",0,1,36444,31243,1.54618034049888,"small"
"christian",0,1,36444,31243,1.54618034049888,"small"
"chum",0,1,36444,31243,1.54618034049888,"small"
"church-related",0,1,36444,31243,1.54618034049888,"small"
"cider",0,1,36444,31243,1.54618034049888,"small"
"cine",0,1,36444,31243,1.54618034049888,"small"
"circulating",0,1,36444,31243,1.54618034049888,"small"
"citation",0,1,36444,31243,1.54618034049888,"small"
"citizen",0,1,36444,31243,1.54618034049888,"small"
"city-centre",0,1,36444,31243,1.54618034049888,"small"
"city-state",0,1,36444,31243,1.54618034049888,"small"
"clan",0,1,36444,31243,1.54618034049888,"small"
"clasp",0,1,36444,31243,1.54618034049888,"small"
"clean-scrubbed",0,1,36444,31243,1.54618034049888,"small"
"clerestory",0,1,36444,31243,1.54618034049888,"small"
"clipping",0,1,36444,31243,1.54618034049888,"small"
"clod",0,1,36444,31243,1.54618034049888,"small"
"closeknit",0,1,36444,31243,1.54618034049888,"small"
"clot",0,1,36444,31243,1.54618034049888,"small"
"clothier",0,1,36444,31243,1.54618034049888,"small"
"clothing-manufacturer",0,1,36444,31243,1.54618034049888,"small"
"co",0,1,36444,31243,1.54618034049888,"small"
"co-op",0,1,36444,31243,1.54618034049888,"small"
"coalfield",0,1,36444,31243,1.54618034049888,"small"
"coalmine",0,1,36444,31243,1.54618034049888,"small"
"coaly",0,1,36444,31243,1.54618034049888,"small"
"coastline",0,1,36444,31243,1.54618034049888,"small"
"coating",0,1,36444,31243,1.54618034049888,"small"
"cobble",0,1,36444,31243,1.54618034049888,"small"
"cockpit",0,1,36444,31243,1.54618034049888,"small"
"coffee-pot",0,1,36444,31243,1.54618034049888,"small"
"coffee-table",0,1,36444,31243,1.54618034049888,"small"
"cognac",0,1,36444,31243,1.54618034049888,"small"
"coke",0,1,36444,31243,1.54618034049888,"small"
"col",0,1,36444,31243,1.54618034049888,"small"
"collapse",0,1,36444,31243,1.54618034049888,"small"
"collocation",0,1,36444,31243,1.54618034049888,"small"
"colloquia",0,1,36444,31243,1.54618034049888,"small"
"colonial-style",0,1,36444,31243,1.54618034049888,"small"
"colonnade",0,1,36444,31243,1.54618034049888,"small"
"colour-coated",0,1,36444,31243,1.54618034049888,"small"
"comet",0,1,36444,31243,1.54618034049888,"small"
"commerce",0,1,36444,31243,1.54618034049888,"small"
"commercially-minded",0,1,36444,31243,1.54618034049888,"small"
"competitor",0,1,36444,31243,1.54618034049888,"small"
"complement",0,1,36444,31243,1.54618034049888,"small"
"compulsion",0,1,36444,31243,1.54618034049888,"small"
"computing",0,1,36444,31243,1.54618034049888,"small"
"comset",0,1,36444,31243,1.54618034049888,"small"
"con-tingent",0,1,36444,31243,1.54618034049888,"small"
"concavity",0,1,36444,31243,1.54618034049888,"small"
"concourse",0,1,36444,31243,1.54618034049888,"small"
"conducting",0,1,36444,31243,1.54618034049888,"small"
"conductor",0,1,36444,31243,1.54618034049888,"small"
"confine",0,1,36444,31243,1.54618034049888,"small"
"conflagration",0,1,36444,31243,1.54618034049888,"small"
"conger",0,1,36444,31243,1.54618034049888,"small"
"conglomeration",0,1,36444,31243,1.54618034049888,"small"
"conjuring",0,1,36444,31243,1.54618034049888,"small"
"conservatoire",0,1,36444,31243,1.54618034049888,"small"
"conspiracy",0,1,36444,31243,1.54618034049888,"small"
"constant",0,1,36444,31243,1.54618034049888,"small"
"consultancy",0,1,36444,31243,1.54618034049888,"small"
"container-grown",0,1,36444,31243,1.54618034049888,"small"
"controller",0,1,36444,31243,1.54618034049888,"small"
"contusion",0,1,36444,31243,1.54618034049888,"small"
"convenience",0,1,36444,31243,1.54618034049888,"small"
"convert",0,1,36444,31243,1.54618034049888,"small"
"cooperative",0,1,36444,31243,1.54618034049888,"small"
"coppice",0,1,36444,31243,1.54618034049888,"small"
"copy",0,1,36444,31243,1.54618034049888,"small"
"cormlet",0,1,36444,31243,1.54618034049888,"small"
"cornershop",0,1,36444,31243,1.54618034049888,"small"
"cornice",0,1,36444,31243,1.54618034049888,"small"
"corpus",0,1,36444,31243,1.54618034049888,"small"
"corral",0,1,36444,31243,1.54618034049888,"small"
"corrective",0,1,36444,31243,1.54618034049888,"small"
"corry",0,1,36444,31243,1.54618034049888,"small"
"cortège",0,1,36444,31243,1.54618034049888,"small"
"cottagy",0,1,36444,31243,1.54618034049888,"small"
"counselling-room",0,1,36444,31243,1.54618034049888,"small"
"counter-espionage",0,1,36444,31243,1.54618034049888,"small"
"counterweight",0,1,36444,31243,1.54618034049888,"small"
"counting",0,1,36444,31243,1.54618034049888,"small"
"countryside",0,1,36444,31243,1.54618034049888,"small"
"course",0,1,36444,31243,1.54618034049888,"small"
"courser",0,1,36444,31243,1.54618034049888,"small"
"courtyards-",0,1,36444,31243,1.54618034049888,"small"
"covenant",0,1,36444,31243,1.54618034049888,"small"
"craft-master",0,1,36444,31243,1.54618034049888,"small"
"crane",0,1,36444,31243,1.54618034049888,"small"
"creditor",0,1,36444,31243,1.54618034049888,"small"
"crescent-shaped",0,1,36444,31243,1.54618034049888,"small"
"crevass",0,1,36444,31243,1.54618034049888,"small"
"crocodile",0,1,36444,31243,1.54618034049888,"small"
"crofting",0,1,36444,31243,1.54618034049888,"small"
"croftsman",0,1,36444,31243,1.54618034049888,"small"
"cromlech",0,1,36444,31243,1.54618034049888,"small"
"crossbow",0,1,36444,31243,1.54618034049888,"small"
"croûtons",0,1,36444,31243,1.54618034049888,"small"
"cryptology",0,1,36444,31243,1.54618034049888,"small"
"cudgel",0,1,36444,31243,1.54618034049888,"small"
"cultivate",0,1,36444,31243,1.54618034049888,"small"
"cultiweeder",0,1,36444,31243,1.54618034049888,"small"
"culvert",0,1,36444,31243,1.54618034049888,"small"
"cumulus",0,1,36444,31243,1.54618034049888,"small"
"cure",0,1,36444,31243,1.54618034049888,"small"
"curler",0,1,36444,31243,1.54618034049888,"small"
"current-limiting",0,1,36444,31243,1.54618034049888,"small"
"cut-off",0,1,36444,31243,1.54618034049888,"small"
"cutlery",0,1,36444,31243,1.54618034049888,"small"
"cutout",0,1,36444,31243,1.54618034049888,"small"
"cymbal",0,1,36444,31243,1.54618034049888,"small"
"daggerboard",0,1,36444,31243,1.54618034049888,"small"
"dais",0,1,36444,31243,1.54618034049888,"small"
"dance-floor",0,1,36444,31243,1.54618034049888,"small"
"danio",0,1,36444,31243,1.54618034049888,"small"
"daphnia",0,1,36444,31243,1.54618034049888,"small"
"dashboard",0,1,36444,31243,1.54618034049888,"small"
"day",0,1,36444,31243,1.54618034049888,"small"
"debris",0,1,36444,31243,1.54618034049888,"small"
"decanter",0,1,36444,31243,1.54618034049888,"small"
"deduction",0,1,36444,31243,1.54618034049888,"small"
"default",0,1,36444,31243,1.54618034049888,"small"
"defiance",0,1,36444,31243,1.54618034049888,"small"
"deflation",0,1,36444,31243,1.54618034049888,"small"
"denizen",0,1,36444,31243,1.54618034049888,"small"
"densely-stitched",0,1,36444,31243,1.54618034049888,"small"
"density",0,1,36444,31243,1.54618034049888,"small"
"dependant",0,1,36444,31243,1.54618034049888,"small"
"depot",0,1,36444,31243,1.54618034049888,"small"
"deputation",0,1,36444,31243,1.54618034049888,"small"
"desolation",0,1,36444,31243,1.54618034049888,"small"
"despatch",0,1,36444,31243,1.54618034049888,"small"
"destabilisation",0,1,36444,31243,1.54618034049888,"small"
"destroying",0,1,36444,31243,1.54618034049888,"small"
"detonating",0,1,36444,31243,1.54618034049888,"small"
"detonation",0,1,36444,31243,1.54618034049888,"small"
"detritus-feeding",0,1,36444,31243,1.54618034049888,"small"
"devotion",0,1,36444,31243,1.54618034049888,"small"
"dewlap",0,1,36444,31243,1.54618034049888,"small"
"diaphragm",0,1,36444,31243,1.54618034049888,"small"
"die",0,1,36444,31243,1.54618034049888,"small"
"dill",0,1,36444,31243,1.54618034049888,"small"
"diluting",0,1,36444,31243,1.54618034049888,"small"
"diner",0,1,36444,31243,1.54618034049888,"small"
"dipole",0,1,36444,31243,1.54618034049888,"small"
"disadvantage",0,1,36444,31243,1.54618034049888,"small"
"disco",0,1,36444,31243,1.54618034049888,"small"
"discovery",0,1,36444,31243,1.54618034049888,"small"
"disincentive",0,1,36444,31243,1.54618034049888,"small"
"dissident",0,1,36444,31243,1.54618034049888,"small"
"dissipating",0,1,36444,31243,1.54618034049888,"small"
"distributor",0,1,36444,31243,1.54618034049888,"small"
"divan",0,1,36444,31243,1.54618034049888,"small"
"diversification",0,1,36444,31243,1.54618034049888,"small"
"diving",0,1,36444,31243,1.54618034049888,"small"
"dock",0,1,36444,31243,1.54618034049888,"small"
"document",0,1,36444,31243,1.54618034049888,"small"
"doha",0,1,36444,31243,1.54618034049888,"small"
"domestic",0,1,36444,31243,1.54618034049888,"small"
"donan",0,1,36444,31243,1.54618034049888,"small"
"donkey-cart",0,1,36444,31243,1.54618034049888,"small"
"doorstop",0,1,36444,31243,1.54618034049888,"small"
"dosage",0,1,36444,31243,1.54618034049888,"small"
"doughnut",0,1,36444,31243,1.54618034049888,"small"
"dovetailing",0,1,36444,31243,1.54618034049888,"small"
"down-payment",0,1,36444,31243,1.54618034049888,"small"
"downdraught",0,1,36444,31243,1.54618034049888,"small"
"draper",0,1,36444,31243,1.54618034049888,"small"
"draw",0,1,36444,31243,1.54618034049888,"small"
"drawback",0,1,36444,31243,1.54618034049888,"small"
"drawing.room",0,1,36444,31243,1.54618034049888,"small"
"dressing-room",0,1,36444,31243,1.54618034049888,"small"
"dressing/undressing",0,1,36444,31243,1.54618034049888,"small"
"driftnet",0,1,36444,31243,1.54618034049888,"small"
"drinking",0,1,36444,31243,1.54618034049888,"small"
"drinking-cup",0,1,36444,31243,1.54618034049888,"small"
"drogue",0,1,36444,31243,1.54618034049888,"small"
"drop-in",0,1,36444,31243,1.54618034049888,"small"
"drop-leaf",0,1,36444,31243,1.54618034049888,"small"
"drought",0,1,36444,31243,1.54618034049888,"small"
"dual-purpose",0,1,36444,31243,1.54618034049888,"small"
"duct",0,1,36444,31243,1.54618034049888,"small"
"dukedom",0,1,36444,31243,1.54618034049888,"small"
"dune",0,1,36444,31243,1.54618034049888,"small"
"dungareed",0,1,36444,31243,1.54618034049888,"small"
"dunghill",0,1,36444,31243,1.54618034049888,"small"
"duplicator",0,1,36444,31243,1.54618034049888,"small"
"duration",0,1,36444,31243,1.54618034049888,"small"
"dustbin",0,1,36444,31243,1.54618034049888,"small"
"dye",0,1,36444,31243,1.54618034049888,"small"
"e.p.s.ps",0,1,36444,31243,1.54618034049888,"small"
"earn-out",0,1,36444,31243,1.54618034049888,"small"
"earnings",0,1,36444,31243,1.54618034049888,"small"
"easel-picture",0,1,36444,31243,1.54618034049888,"small"
"east-west",0,1,36444,31243,1.54618034049888,"small"
"eat",0,1,36444,31243,1.54618034049888,"small"
"eater",0,1,36444,31243,1.54618034049888,"small"
"eating",0,1,36444,31243,1.54618034049888,"small"
"eating-house",0,1,36444,31243,1.54618034049888,"small"
"eight-gun",0,1,36444,31243,1.54618034049888,"small"
"eight-year-old",0,1,36444,31243,1.54618034049888,"small"
"elect",0,1,36444,31243,1.54618034049888,"small"
"electrician",0,1,36444,31243,1.54618034049888,"small"
"electrode",0,1,36444,31243,1.54618034049888,"small"
"electrolyte-filled",0,1,36444,31243,1.54618034049888,"small"
"electron",0,1,36444,31243,1.54618034049888,"small"
"elf",0,1,36444,31243,1.54618034049888,"small"
"elfin",0,1,36444,31243,1.54618034049888,"small"
"embassy",0,1,36444,31243,1.54618034049888,"small"
"emu",0,1,36444,31243,1.54618034049888,"small"
"en-",0,1,36444,31243,1.54618034049888,"small"
"encroachment",0,1,36444,31243,1.54618034049888,"small"
"engagement",0,1,36444,31243,1.54618034049888,"small"
"engineer",0,1,36444,31243,1.54618034049888,"small"
"entanglement",0,1,36444,31243,1.54618034049888,"small"
"enthusiast",0,1,36444,31243,1.54618034049888,"small"
"entre-preneur",0,1,36444,31243,1.54618034049888,"small"
"entryway",0,1,36444,31243,1.54618034049888,"small"
"epidemic",0,1,36444,31243,1.54618034049888,"small"
"epipleural",0,1,36444,31243,1.54618034049888,"small"
"equator",0,1,36444,31243,1.54618034049888,"small"
"escutcheon",0,1,36444,31243,1.54618034049888,"small"
"espalier",0,1,36444,31243,1.54618034049888,"small"
"estate-owner",0,1,36444,31243,1.54618034049888,"small"
"estuary",0,1,36444,31243,1.54618034049888,"small"
"evergreen",0,1,36444,31243,1.54618034049888,"small"
"evil",0,1,36444,31243,1.54618034049888,"small"
"ex-conduit",0,1,36444,31243,1.54618034049888,"small"
"excretion",0,1,36444,31243,1.54618034049888,"small"
"exhibit",0,1,36444,31243,1.54618034049888,"small"
"exile",0,1,36444,31243,1.54618034049888,"small"
"expanse",0,1,36444,31243,1.54618034049888,"small"
"exter",0,1,36444,31243,1.54618034049888,"small"
"external",0,1,36444,31243,1.54618034049888,"small"
"extractor",0,1,36444,31243,1.54618034049888,"small"
"extremist",0,1,36444,31243,1.54618034049888,"small"
"eye-dropper-type",0,1,36444,31243,1.54618034049888,"small"
"eye-spot",0,1,36444,31243,1.54618034049888,"small"
"faculty",0,1,36444,31243,1.54618034049888,"small"
"fallacy",0,1,36444,31243,1.54618034049888,"small"
"familiarity",0,1,36444,31243,1.54618034049888,"small"
"fanlight",0,1,36444,31243,1.54618034049888,"small"
"farm-er",0,1,36444,31243,1.54618034049888,"small"
"farmholder",0,1,36444,31243,1.54618034049888,"small"
"fascist",0,1,36444,31243,1.54618034049888,"small"
"fax",0,1,36444,31243,1.54618034049888,"small"
"feisty",0,1,36444,31243,1.54618034049888,"small"
"feline",0,1,36444,31243,1.54618034049888,"small"
"fellini",0,1,36444,31243,1.54618034049888,"small"
"felucca",0,1,36444,31243,1.54618034049888,"small"
"feral",0,1,36444,31243,1.54618034049888,"small"
"fibre-board",0,1,36444,31243,1.54618034049888,"small"
"fibre-glass",0,1,36444,31243,1.54618034049888,"small"
"fief",0,1,36444,31243,1.54618034049888,"small"
"filing",0,1,36444,31243,1.54618034049888,"small"
"fillet",0,1,36444,31243,1.54618034049888,"small"
"filtration",0,1,36444,31243,1.54618034049888,"small"
"finca",0,1,36444,31243,1.54618034049888,"small"
"finger-gesture",0,1,36444,31243,1.54618034049888,"small"
