"Word","Frequency"
"change",247
"improvement",43
"end",30
"death",22
"downfall",21
"result",21
"reduction",19
"revolution",19
"increase",18
"peace",17
"collapse",14
"transformation",13
"development",12
"shift",11
"decline",10
"destruction",10
"state",10
"unity",10
"effect",9
"event",9
"situation",9
"fall",8
"reconciliation",8
"reform",8
"process",7
"recovery",7
"action",6
"attitude",6
"degree",6
"demise",6
"public",6
"renewal",6
"withdrawal",6
"world",6
"breach",5
"conversion",5
"growth",5
"legislation",5
"loss",5
"outcome",5
"policy",5
"sense",5
"understanding",5
"condition",4
"defeat",4
"environment",4
"introduction",4
"life",4
"number",4
"present",4
"problem",4
"redistribution",4
"release",4
"renaissance",4
"resurgence",4
"return",4
"settlement",4
"symptom",4
"system",4
"union",4
"accountability",3
"advance",3
"awareness",3
"birth",3
"climate",3
"collaboration",3
"conclusion",3
"conflict",3
"confrontation",3
"consequence",3
"cure",3
"education",3
"emergence",3
"extinction",3
"kind",3
"level",3
"need",3
"objective",3
"realization",3
"recession",3
"resignation",3
"response",3
"reversal",3
"rise",3
"sort",3
"time",3
"tragedy",3
"transition",3
"variation",3
"way",3
"weight",3
"adjustment",2
"agreement",2
"allocation",2
"alteration",2
"amnesia",2
"annulment",2
"attainment",2
"break",2
"bridge",2
"ceasefire",2
"cessation",2
"clash",2
"closure",2
"co-operation",2
"company",2
"competition",2
"confusion",2
"consistency",2
"consumer",2
"contact",2
"convergence",2
"conviction",2
"crisis",2
"curriculum",2
"decrease",2
"degradation",2
"deterioration",2
"disaggregation",2
"dispersal",2
"dissolution",2
"emancipation",2
"enhancement",2
"enrichment",2
"equality",2
"equilibrium",2
"establishment",2
"exodus",2
"family",2
"harmony",2
"healing",2
"health",2
"help",2
"idea",2
"implementation",2
"independence",2
"information",2
"intensification",2
"internationalization",2
"learn",2
"market",2
"measure",2
"meeting",2
"miracle",2
"negotiation",2
"onset",2
"part",2
"partnership",2
"people",2
"poverty",2
"price",2
"re-assessment",2
"reaction",2
"reorganisation",2
"reorganization",2
"repeal",2
"resolution",2
"restoration",2
"review",2
"revival",2
"saving",2
"separation",2
"stability",2
"step",2
"strength",2
"support",2
"suspension",2
"synthesis",2
"turning-point",2
"use",2
"value",2
"variety",2
"victory",2
"war",2
"will",2
"woman",2
"year",2
"abandonment",1
"abdication",1
"abolition",1
"acceleration",1
"acceptance",1
"acquisition",1
"act",1
"adjective",1
"affirmation",1
"alignment",1
"alliance",1
"ambition",1
"amelioration",1
"amount",1
"analgesia",1
"annihilation",1
"answer",1
"appointment",1
"appreciation",1
"approach",1
"archaeology",1
"area",1
"arm",1
"arrival",1
"art",1
"artist",1
"association",1
"astounding",1
"atmosphere",1
"attack",1
"attempt",1
"autonomy",1
"aversion",1
"balance",1
"ban",1
"beginning",1
"beholder",1
"benefit",1
"bill",1
"bit",1
"boycott",1
"breakdown",1
"breeding",1
"brother",1
"brotherhood",1
"calm",1
"capacity",1
"capitalist",1
"carcinogenesis",1
"carter",1
"case",1
"catastrophe",1
"cause",1
"censorship",1
"centre",1
"century",1
"chaos",1
"charge",1
"child",1
"church",1
"cinema",1
"civilisation",1
"class",1
"co-ordination",1
"coadjutor",1
"coercion",1
"cold",1
"collision",1
"commitment",1
"commonwealth",1
"communique",1
"community",1
"complaint",1
"completion",1
"compromise",1
"concentration",1
"concept",1
"concrete",1
"conference",1
"confession",1
"conformity",1
"consent",1
"consideration",1
"consultation",1
"contract",1
"control",1
"convent",1
"cooperation",1
"corine",1
"correction",1
"cost",1
"course",1
"creation",1
"cremation",1
"criticism",1
"cross-fertilisation",1
"curvature",1
"death-bed",1
"debility",1
"decay",1
"decision",1
"defection",1
"defending",1
"degeneracy",1
"degeneration",1
"delay",1
