"Word","Frequency"
"problem",836
"death",358
"damage",334
"concern",284
"trouble",269
"harm",203
"difficulty",185
"injury",139
"change",128
"pain",122
"confusion",113
"loss",113
"lot",95
"increase",93
"delay",90
"distress",84
"disease",81
"controversy",78
"accident",76
"cancer",72
"chaos",71
"stir",70
"effect",63
"explosion",62
"havoc",62
"deal",61
"anxiety",60
"alarm",57
"disruption",55
"offence",55
"pollution",50
"stress",49
"sensation",48
"symptom",48
"suffering",46
"reaction",45
"reduction",45
"resentment",43
"embarrassment",42
"illness",42
"people",40
"friction",39
"panic",39
"disturbance",37
"fall",37
"uproar",37
"rise",36
"consternation",35
"fire",35
"storm",35
"hardship",34
"discomfort",33
"traffic",33
"casualty",32
"pound",32
"excitement",31
"amount",28
"breach",28
"heart",28
"bit",27
"fear",27
"outrage",27
"person",27
"sort",27
"crisis",25
"furore",25
"nuisance",25
"unemployment",25
"headache",24
"infection",24
"obstruction",24
"surprise",24
"behaviour",23
"destruction",23
"inconvenience",23
"number",23
"tension",23
"act",22
"conflict",22
"crash",22
"ripple",22
"blood",21
"comment",21
"family",21
"flooding",21
"outcry",21
"public",21
"year",21
"aids",20
"harassment",20
"health",20
"irritation",20
"worry",20
"breakdown",19
"diarrhoea",19
"handicap",19
"mortality",19
"part",19
"skin",19
"uncertainty",19
"failure",18
"lung",18
"release",18
"strain",18
"action",17
"brain",17
"complaint",17
"decline",17
"deterioration",17
"feeling",17
"movement",17
"riot",17
"row",17
"shock",17
"complication",16
"depression",16
"food",16
"grief",16
"optimism",16
"other",16
"water",16
"anger",15
"child",15
"eye",15
"fuss",15
"interest",15
"kind",15
"mayhem",15
"price",15
"scandal",15
"shift",15
"upset",15
"vehicle",15
"war",15
"collapse",14
"degree",14
"disaster",14
"distortion",14
"growth",14
"misery",14
"permit",14
"result",14
"term",14
"unhappiness",14
"amusement",13
"blindness",13
"consequence",13
"crime",13
"debate",13
"decrease",13
"end",13
"erosion",13
"liver",13
"upheaval",13
"birth",12
"blockage",12
"commotion",12
"fluctuation",12
"interference",12
"lack",12
"level",12
"misunderstanding",12
"mother",12
"paralysis",12
"party",12
"pressure",12
"rift",12
"time",12
"work",12
"activity",11
"condition",11
"devastation",11
"development",11
"division",11
"expansion",11
"extinction",11
"inflammation",11
"man",11
"moment",11
"recession",11
"scene",11
"variation",11
"wound",11
"acid",10
"allergy",10
"annoyance",10
"belief",10
"demand",10
"disorder",10
"disquiet",10
"downfall",10
"drowsiness",10
"error",10
"frustration",10
"imbalance",10
"inflation",10
"maximum",10
"muscle",10
"response",10
"soil",10
"state",10
"unrest",10
"way",10
"anguish",9
